game_id,gamer_id,game_date,game_time,kills,deaths,assists,kd,damage,score,score_per_min,wall_bangs,headshots,reviver,team_placement,time_played,total_xp,score_xp,match_xp,challenge_xp,medal_xp,bonus_xp,misc_xp,team_wiped,gulag_kills,gulag_deaths,distance_traveled,percent_time_moving,team_survival,executions,nearmisses,kiosk_buy,damage_taken,mission_pickup_tablet,last_stand_kill,longest_streak,cache_open
1072406065159503386,gs25#11901,1970-01-19,6:58:51 AM,1,2,0,0.50,"1,306",300,15.86,0,0,,15,18m 55s,"8,987",600,"8,387",0,0,0,0,,0,1,"182,991",60.7%,17m 16s,0,0,,585,1,,0,1
3317871915086196465,gs25#11901,1970-01-19,6:58:49 AM,9,2,0,4.50,"3,599","11,625",398.34,0,3,1,1,29m 11s,"30,167","13,565","13,581",0,365,0,0,1,0,2,"454,177",97.1%,27m 30s,0,0,6,751,3,7,6,13
5542855571109175080,gs25#11901,1970-01-19,6:58:48 AM,4,3,0,1.33,"2,002","8,075",348.56,0,0,,10,23m 10s,"20,453","9,595","10,747",0,20,0,0,,0,2,"440,968",76.0%,21m 42s,0,0,7,805,2,3,1,6
14618887730622430886,gs25#11901,1970-01-19,6:58:47 AM,5,2,0,2.50,"1,317","4,375",210.34,0,0,1,7,20m 48s,"16,346","5,295","10,755",0,15,0,0,,0,1,"450,941",96.9%,19m 19s,0,0,2,705,2,2,3,12
17303339894893961005,gs25#11901,1970-01-19,6:58:46 AM,1,1,0,1.00,388,525,45.99,0,0,,22,11m 25s,"6,352",825,"5,527",0,0,0,0,,0,1,"301,468",44.0%,09m 54s,0,0,,200,1,1,1,1
2197255019526366426,gs25#11901,1970-01-19,6:58:45 AM,4,3,0,1.33,"1,631","2,600",182.24,0,0,,22,14m 16s,"9,378","2,900","6,401",0,20,0,0,,0,2,"304,162",77.0%,12m 50s,0,0,1,"1,204",,4,3,4
6345349075064233287,gs25#11901,1970-01-19,6:58:43 AM,6,3,0,2.00,"2,368","8,600",327.41,0,3,1,5,26m 16s,"22,309","9,000","11,963",0,90,0,0,1,1,1,"538,131",87.6%,24m 29s,0,0,4,"1,001",,5,4,3
2788102508434836460,gs25#11901,1970-01-19,6:58:42 AM,2,2,0,1.00,899,"1,225",143.00,0,0,,31,08m 34s,"6,115","1,525","4,590",0,0,0,0,,1,0,"257,268",98.8%,07m 14s,0,0,,491,1,1,2,5
11014265238550726162,gs25#11901,1970-01-19,6:58:40 AM,6,3,0,2.00,"2,999","12,275",487.10,0,1,,5,25m 12s,"29,114","14,420","12,067",0,345,0,0,2,0,2,"312,693",89.7%,24m 07s,0,0,8,484,4,5,8,4
9946566661886199322,gs25#11901,1970-01-19,6:58:21 AM,5,2,0,2.50,"2,686","5,000",248.76,0,1,2,9,20m 06s,"15,979","5,000","10,549",0,10,0,0,,0,1,"445,690",96.1%,19m 15s,0,0,2,760,,4,3,4
10750873432037396228,gs25#11901,1970-01-19,6:58:20 AM,1,2,0,0.50,450,550,68.18,0,0,,29,08m 04s,"4,120",650,"3,470",0,0,0,0,,1,0,"243,336",74.3%,06m 46s,0,0,,384,1,,1,2
10663651382443875163,gs25#11901,1970-01-19,6:58:16 AM,0,2,0,0.00,118,500,100.67,0,0,,103,04m 58s,"4,258","1,200","2,958",0,100,0,0,,0,1,"189,089",91.7%,03m 39s,0,0,,200,1,,0,4
1494021915349104121,gs25#11901,1970-01-19,6:57:23 AM,3,2,0,1.50,"2,333","12,525",488.30,0,0,,5,25m 39s,"28,203","15,625","12,279",0,10,0,0,1,1,0,"419,451",98.6%,24m 13s,0,0,9,796,3,1,2,12
9135681457753790422,gs25#11901,1970-01-19,6:57:22 AM,8,2,0,4.00,"2,340","7,400",348.78,0,0,2,15,21m 13s,"18,520","8,320","9,177",0,325,0,0,,1,0,"476,562",98.5%,19m 51s,0,0,5,686,3,7,7,3
2760520106830238824,gs25#11901,1970-01-19,6:57:22 AM,0,0,0,0.00,0,0,0.00,0,0,,37,01m 38s,291,0,291,0,0,0,0,,0,0,"36,140",0.0%,00m 27.168s,0,0,,0,,,0,
